process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name
20.0,4.0,2.5,,1.0,9.55,3.55,2.55,768.0,795.0,3.0,19.1,,325.0,1024.0,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2009-06-02,A.I. War: Fleet Command
20.0,4.0,2.5,,1.0,9.55,3.55,2.55,768.0,795.0,3.0,19.1,,325.0,1024.0,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,3072.0,3072.0,2010-01-13,A.I. War: The Zenith Remnant
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-02-13,A.V.
28.0,72.0,79.5,32.0,36.0,12.05,5.0,4.45,2048.0,1576.5,5.0,145.7,1114.0,450.0,2048.0,6144.0,,,Windows 7 64-bit,Windows 7 64-bit,9.0,11.0,6144.0,6144.0,2016-08-02,ABZU
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,2048.0,3072.0,256.0,,Windows 7 32-bit,Windows 7 32-bit,9.0,9.0,,,2014-08-18,ACE: Arena Cyber Evolution
15.0,172.0,269.0,60.0,96.0,12.05,5.0,4.45,8192.0,1251.0,1.5,256.15,841.5,550.0,8192.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,12.0,10240.0,10240.0,2020-10-28,AGOS - A Game Of Space
28.0,112.0,107.0,32.0,30.5,11.1,5.0,4.25,2560.0,1376.0,5.0,216.15,956.5,500.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,20480.0,20480.0,2019-09-18,AI: The Somnium Files
28.0,80.0,73.5,32.0,32.0,11.6,5.0,4.35,2560.0,1451.5,5.0,172.9,594.0,425.0,8192.0,8192.0,1024.0,2048.0,Windows 8 64-bit,Windows 8 64-bit,11.0,11.0,2048.0,2048.0,2021-07-20,AKIBAS TRIP: Hellbound & Debriefed
15.0,108.0,158.0,40.0,62.5,12.05,5.0,4.5,3584.0,1876.0,5.0,208.1,1524.5,450.0,8192.0,16384.0,2048.0,3072.0,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,30720.0,30720.0,2020-08-14,ANAREA Battle Royale
28.0,140.0,154.0,60.0,66.5,12.0,5.0,4.4,6144.0,1626.5,5.0,304.2,589.0,550.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,13312.0,13312.0,2018-05-08,AO International Tennis
