split,game_name,label_0,label_1,label_2,label_3
train,Battlefield 1 - They Shall Not Pass,116,23,99,10
train,Battlefield 2,374,58,331,27
train,Battlefield 2042,79,15,60,6
train,Battlefield 2142,507,50,561,23
train,Battlefield 2: Euro Force,374,58,331,27
train,Battlefield 2: Special Forces,335,55,283,28
train,Battlefield 3,199,35,164,14
train,Battlefield 3 Premium,199,35,164,14
train,Battlefield 3: Aftermath,199,35,164,14
train,Battlefield 3: Back To Karkand,199,35,164,14
train,Battlefield 3: End Game,199,35,164,14
train,Battlefield 4: Final Stand,188,33,155,13
train,Battlefield 4: Naval Strike,188,33,155,13
train,Battlefield 4: Second Assault,188,33,155,13
train,Battlefield 6,88,16,69,7
train,Battlefield Bad Company 2,231,37,200,13
train,Battlefield Bad Company 2: Vietnam,231,37,200,13
train,Battlefield Play4Free,332,54,286,23
train,Battlefield V,124,23,102,4
train,Battlefield: Bad Company 3,88,16,69,7
train,Battlefield: Hardline,174,32,142,10
train,Battlefleet Gothic: Armada,174,32,142,10
train,Battlefleet Gothic: Armada 2,168,29,147,9
train,Battlerite,319,55,270,23
train,Battlestar Galactica Deadlock,127,26,129,6
train,Battlestar Galactica Deadlock: Reinforcement Pack,127,26,129,6
train,Battlestar Galactica Deadlock: Resurrection,127,26,129,6
train,Battlestar Galactica Deadlock: Sin and Sacrifice,127,26,129,6
train,Battlestar Galactica Deadlock: The Broken Alliance,127,26,129,6
train,Battlestations: Midway,349,58,295,28
train,Battletoads,230,39,196,12
train,Battlezone Reboot,264,44,234,11
train,Bayala - The Game,131,25,106,6
train,Bayonetta,170,29,148,11
train,BeGone,380,62,332,30
train,Beach Life,533,32,663,22
train,BeamNG.drive,108,22,92,6
train,Beans: The Coffee Shop Simulator,336,57,287,27
train,Bear With Me,345,54,296,27
train,Bear With Me - Episode Three,345,54,296,27
train,Bear With Me - Episode Two,345,54,296,27
train,BearHammer,88,16,69,7
train,Beast,156,27,130,10
train,Beasts of Prey,208,34,176,11
train,Beat Blast,354,59,301,26
train,Beat Me!,286,48,247,16
train,Beat Saber,125,22,105,4
train,Beatbuddy,345,54,296,27
train,Beautiful Desolation,214,38,181,10
train,Becastled,117,22,99,10
train,Bedlam,274,44,240,11
train,Bee Simulator,124,23,102,4
train,Before,345,54,296,27
train,Before We Leave,122,20,104,5
train,Beholder,336,57,278,28
train,Beholder 2,191,34,155,11
train,Below,170,31,148,11
train,Bendy and the Ink Machine,101,19,82,3
train,Beneath the Crimson Moon,345,54,296,27
train,Besiege,319,55,270,23
train,Besieger,531,41,628,23
train,Betrayer,206,36,175,11
train,Beyond Eyes,319,55,270,23
train,Beyond Good & Evil,527,44,615,24
train,Beyond Space,345,54,296,27
train,Beyond The Destiny,149,30,135,9
train,Beyond The Wire,131,25,106,6
train,Beyond a Steel Sky,127,24,103,6
train,Beyond: Two Souls,114,21,99,7
train,Bezier,345,54,296,27
train,Bierzerkers,300,49,255,22
train,Big Farm Story,268,44,237,11
train,Big Journey to Home,345,54,296,27
train,Big Pharma,347,59,303,12
train,Bigfoot,101,20,83,6
train,Bik - A Space Adventure,345,54,296,27
train,Biker Garage: Mechanic Simulator,116,23,99,10
train,Binary Domain,237,40,202,11
train,Binding Of Isaac: Wrath Of The Lamb,439,59,431,17
train,BioShock: The Collection,127,26,129,6
train,BioShock™ 2 Remastered,127,26,129,6
